sentence,label
” Pati ba sa pagpili ng mga panonooring pelikula ay magkasundo sila?,0
“Hahayaan lang ba natin na lalong magkaroon ng lakas ng loob ‘yung mga taong gumawa ng kalokohan dahil walang kaso?,0
"80 bahay, 300 pamilya binaha (Richard Buenaventura) ARINGAY, La Union --- Tinatayang 80 kabaha­yan ang binaha at mahigit tatlong daang pamilya ang apektado sa naganap na storm surge kamakalawa ng gabi sa Barangay Alaska ng bayang ito.",0
Panahon na para sila naman ang tumulong sa kanilang problematic mother.,0
Tingnan natin kung may tao sa mga sinehan.,0
Dinala siya ng bading sa isang dressing room at doon ay kyemeng mine-makeup-an niya ang buong katawan.,0
"Noong 1996, naging Assistant Court Admi­nistrator si Perez at taong 2000 bilang Deputy Court Administrator.",0
Walang maitulak-kabigin sa mga naggagandahang suot ng mga female stars.,0
"Noong December 19, 2008 nagsara na ang pinagtatrabahuhan namin.",0
"Sana ‘di lang ‘yan pakitang-tao,” ani Escudero matapos kuyugin ng iba’t ibang ahensya ng gobyerno ang mga sangkot sa Legacy scandal partikular ang mga tumanggap ng suhol kay Delos Angeles sa loob ng SEC.",0
Magdesisyon ka kung ano talaga ang mahalaga sa iyo at ito ang gawin mong buhay mo.,0
"Ibang-iba raw ang sis­tema ng pagtatrabaho nila ngayon, na sa set pa lang nila, talagang umaabot na ng matagal.",0
Ang mga ganyang panggugulang ay babala na sa atin kung ano ang gagawin ng naturang kandidato oras na mahalal siya.,0
"Ang hirap pala talaga ng pera nowadays, huh!",0
"Base sa pagsisiyasat ni SPO1 Arthur Grimaldo, ang biktima ay namataan umano dakong alas-otso ng umaga kamakalawa sa lakeshore na nasasakupan ng ng Sitio Pulo.",0
"Kasi, ang pinapalabas nila, alam ko.",0
"Hayan, visible pa rin si Juday pati na sa commercials niyang napapanood sa ABS-CBN 2 at GMA 7. Mukhang seryoso na si Bobby Yan sa pagharap sa showbiz career niya.",0
May hihigit pa ba sa personal at sincere na thank you?,0
Habang nagtsa-chat kami ni Ms. Annette ay sumingit si Joey Abacan sa tsikahan namin.,0
13 patay kay ‘Emong’ Umaabot na sa 13 katao an­g nasawi sa bagyong “Emong” na humagibis sa tatlong rehiyon ng Hila­gang Luzon.,0
“Sana makatulong ako sa kanila.,0
” Sinimulan ng single nina Teddy Landicho at Carlo Banzon ang game bago makakonekta si Roxas ng RBI double para paiskorin si Landicho.,0
Sino ang tunay na killers?,0
“’Yun ang pagkakaalam ko!,0
“Dapat silang ipako sa krus sa Mahal ng Araw.,0
Multi-milyong pondo ng PASA pinabubusisi Pinabubusisi ng Save PASA Movement ang multi-milyong unliquidated funds ng Philippine Amateur Swimming Association (PASA).,0
"Ipinupuslit umano ang mga ilegal na droga sa Kingdom sa pamamagitan ng pagkubli sa makina ng sasakyan, spare tires, prutas at maging sa tiyan mismo ng courier.",0
"Ang maganda kay Lloydie, hindi niya pine­personal ang mga manunulat na nagsulat tungkol sa mga ‘eksena’ niya lately.",0
"Gaya nu’ng nasulat namin, sari-saring imahe ng mga manghuhula, astrologer, feng-shui expert at kung sinu-sino pang creatures ang kaliwa’t kanang napapanood ngayon sa TV.",0
"Most likely, hindi kasali ang karakter ng lalaki sa TV version ng kuwento ng buhay ni Eva.",0
"Well, kung ang iba sa inyo ay nauuta na sa balitang Kris Aquino, hindi ko puwedeng isnabin ang mga nag-abala para magpadala ng kanilang 2 cents worth or whatever.",0
"Ngunit sa sobrang babad ko sa aking binabasa, nakakaligtaan kong buksan ang ilaw sa kuwarto ko at doon na ko sisimulang sermonan ng mga magulang ko na dapat palaging maliwanag kapag ako’y nagbabasa.",0
"Sa hirap na dinadanas ng mga OFWs sa pagtatrabaho, tapos dahil lamang sa labis na tiwala, ay mawawalang parang bula ang kinitang pera.",0
"Constante Agpaoa ang mga operatiba ng Kamuning Police Station 10 ng Quezon City Police District (QCPD) para tugisin ang dalawang lalaki na riding-in-tandem na pumatay sa tauhan ng LTO flying squad na kinilalang si Pontiano Castillo, 55-anyos.",0
"Palibhasa’y isang palengkera, hindi pa rin nito napigilan ang mga hindi karapat-dapat na salita sa kanyang bibig nang mangatuwiran ito na nasa kabilang kuwarto lamang ang kanilang mga kasamahan dahil sa birthday ng isang senador.",0
"Si Jaime ay babalik upang tulu­ngan ang mga De Silva na pinagkakautangan niya ng loob, samantalang si Jewel ay sumunod sa ate niyang si Emerald.",0
Bubunuin ni Arenas ang kanyang sentensiya sa halfway house matapos ang limang araw.,0
Noong tumambay ito sa bar ay nilapitan siya ng isang lalake na hindi naman daw mukhang bading pero pamilyar ang mukha.,0
"“Eh kahit ako ang kontrabida noon, hindi ako uubra.",0
Nag-guest din sa nasabing sitcom si Gladys Guevarra dahil wala na si Tuesday Vargas na pu­mirma na sa TV5.,0
Sa live coverage ng CS9 lang kami nanood ng filmfest parade.,0
"Kung kayo ay may suggestion, comments o problema mag email lamang sa abanteamyp@yahoo.com Search for keyword Copyright © 2008, Monica Publishing Corporation.",0
"Sinabi naman ni Atty. Ferdinand Rafanan, hepe ng Comelec law department at chairman ng Special Bids and Awards (SBAC), na hindi pa siya nakakatanggap ng pormal na imbitasyon mula sa joint committee.",0
” Napailing ang may-asawa at anak na kaibigan ni Jett.,0
Super diet talaga ang hitad na mansanas at crac­kers lang ang kinakain sa set!,0
"Ayaw raw niyang maging magulo ito at gusto niyang mapaligiran lang ng kanyang pamilya, mga kamag-anak at mga close friends niya.",0
Samantala si Tawagon umano ay nagawang tawagan ang kanyang kapatid at sinabing hindi na s’ya maaring tawagan at naroroon s’ya sa isang bahay.,0
Ang pag-ibig ay may sari­ling dahilan na hindi natin maintindihan.,0
"“Hopefully, I can live up to the expectations,” anang 22-anyos na si Aguilar, anak ni dating Northern Cement Center Peter Aguilar na nag-iisang amateur na isinama ni national coach at BK mentor Yeng Guiao sa Powerade-Team Pilipinas.",0
Nagkaroon ng pagtatalo umano ang Pinay at ang kanyang among babae at habang nasa kainitan ng diskusyon ay pinagtulu­ngan ng mag-ina ang Pinay at pinagpapalo pa ng stick.,0
Minabuti ni Heart na wala muna silang commitment sa isa’t isa at mag-focus muna sa kani-kanyang career.,0
"E ako lang naman ang gagang in love sa iyo, e. Ikaw, Enrico, nananatiling bingi ang puso.",0
Nang magpang-abot ang suspek at ang dalaga ay wala na itong nagawa kundi aminin ang kasalanan.,0
Sinabi rin ni Pastrana na hindi pa sila nakakatanggap ng pormal na imbitasyon sa NBI kaugnay sa isinasagawa nitong imbestigasyon sa insidente.,0
Hindi lang po kayo ang natutuwa kapag nakikita niyo kami.,0
Wala namang sinaktang trabahador ang mga rebelde.,0
Lumutang ang personal na testimonya ng dating House Speaker na matapos silang mag-golf sa China kasama si Mrs. Arroyo at ang kanyang asawa na si G. Mike Arroyo ay nabago ang plano tungkol sa isang proyekto na hahawakan sana ng kumpanyang ZTE.,0
"Noong awarding sa mga nanalo ng Kamayan Golf sa Saisaki Edsa, naroon si Pato Gregorio.",0
"Aktres na ngang matatawag si Lovi Poe dahil mahusay siya sa kanyang mga eksena, huh!",0
"” Sa panig naman ni Sonsona, kung papalaring manalo ay magiging unang Filipino na pinakabatang naging two-time champion.",0
Take note: isang engineer si Mang Jun at posibleng na-compute ang lahat ng lupaing napasakamay ni Manny.,0
"Ang isang anak niya (Nasser Jr.) ay mayor ng Masiu, Lanao del Sur.",0
Magpahula ba naman ng isang “Mr.,0
"Pero hindi dapat malungkot ang mga empleyado sa local government units dahil sa Enero 1, 2010 ay nararanasan na rin nila ang ginhawang malapit nang maranasan ng mga empleyado sa national government offices.",0
Iba pa ang mga reso­lusyong ito sa ConAss bill ni Villafuerte.,0
Kung ngayon po ang pag-uusapan ay wala.,0
"19 Ilalarga ang isang pang­kawanggawang patakbo na nais makapagkaloob ng libreng pag-aaral sa mga dukha sa Setyembre 19 paalis at pabalik sa Quirino Grandstand ng Luneta Park sa Ermita, Maynila.",0
"Pero, inamin niyang espesyal sa kanya si Alwyn.",0
16 Pinoy arestado sa drug trafficking Labing-anim ng Pinoy ang inaresto ng mga awtoridad sa bansang Tsina dahil sa drug trafficking na ikinabahala ng pamunuan ng Department of Foreign Affairs (DFA).,0
"” Eh, paano ‘yan sa mga romance pocket books pa naman, hindi lang kissing scene, love scene pa kadalasan?",0
"Sa ngayon, busy na ang lahat ng miyembro ng ENPRESS sa pagri-review ng iba’t ibang pelikulang ipinalabas last year para sa kanilang 7th Golden Screen Awards.",0
Ang lakas ng palakpa­kan ng fans sa emotio­nal highlight na ‘yon ng pelikula.,0
Mas mabuti kung kayong dalawang babae ang mag-usap tungkol sa pangangailangan ng bata.,0
"Maski sa lalawigan ng Maguinda­nao nangyari ang karahasan, damay ang buong ‘Pinas.",0
Ang patuloy na pag­lakas ng katawan ng Comedy King na si Dolphy ang isa sa mga Christmas wish ni Vic Sotto.,0
"Noong January 28 ang 50th birthday ni Senator Loren pero ngayon siya pupunta sa San Pabl­o City, ang hometown ng kanyang ama, para sa kanyang birthday celebration.",0
Ano ang naitulong ng Kim Bum na ‘yun para bumenta ang drinks na ‘yun?,0
"Anyway, masaya si Ehra na matibay pa rin ang relas­yon nila ng kanyang boyfriend.",0
"Ayon sa mga nakakita, sobra raw ang pagkalasing nito at punang-puna ng ibang tao na naroroon.",0
Unang dapat i-send sa taong target mo ay ang self-confidence at enthusiasm.,0
"Naghanap ‘yung pamangkin ko kung saan-saang mga malls, sa Odyssey siya nakabili at last set na raw ‘yun.",0
Kung ganito muli ang mangyayari ay makatitiyak tayo na patuloy ang pag-iral ng mga warlord sa ARMM at kung ma­durog man ngayon ang mga Ampatuan ay may papalit sa kanila na panibagong warlord at malamang na maulit ang malagim na massacre sa Maguindanao.,0
"Ang malupit, naii­pit ang government official na ito sa kanyang mga kabit at tunay na pamilya kaya litung-lito si Lolo kung sino ang susundin sa dalawang grupong kapwa mga mahal niya sa buhay.",0
"Pero, hindi rin kami nakarinig ng malakas na hiyawan para sa kanya, ‘di tulad kay Enchong Dee na tinilian talaga ng mga tao.",0
Blancaflor si Maj. Ferdinand Marcelino ng Philippine Drug Enforcement Agency para magtanong hinggil sa status ng kaso ng “Alabang Boys” na ayon kay PDEA director general Dionisio Santiago ay may pagka-out of order.,0
Nakaladkad din umano ito ng sasakyang nakabundol sa kanya ng may 20 metro ang layo.,0
"Martin, posibleng ma-blacklist POSIBLENG ma-blacklist si Martin Nievera dahil sa pag-awit niya ng Lupang Hinirang sa naka­raang laban ni Manny Pacquiao.",0
"Hindi lang 180 degrees na pagbaliktad ang ginawa ni Larrazabal, 360 degrees!",0
Kasi ako gusto ko rin ng boxing.,0
"Dahil kay Matthew, magseselos si Jhong (Carl Guevarra) kay Lovely.",0
Si Danny Granger ang namuno sa Indiana sa 18 markers at 11 rebounds sa pangalawang start sapul nang magbalik buhat sa foot injury.,0
Ayaw na ayaw ng female TV personality na pinag-uusapan ang kanyang lovelife.,0
Ang problema nga lang ay kung magiging napa­kababa ng numero ni Aquino at nagkataong mas mataas ang survey rating ni Roxas sa presidential race dahil mangangahulugan itong mas may tsansa na si Mar kaysa kay Noynoy.,0
"Sinundan ito ng panghahamit ng kanyang tagapagsalitang Amerikano, si Gary Olivar, na hinamon pa si Noynoy Aquino na ipagpatuloy ang mga “pamana” ng kanyang Donya sa larangan ng ekonomiya.",0
Habang ang ibang suspek ang siyang nang-agaw ng isang silver at asul na Hyundai vans na kanilang ginamit nang paulanan ng bala ang bahay ni Neri sa Bgy.,0
"Bagama’t, sabi nga, pinagtabi lang sa upuan ang mga magkakasama sa bawat episode, naging kapansin-pansin naman ang mga kilos at galaw nilang dalawa na hindi nagpapasinan at nagtitinginan man lang.",0
"Talagang malaki na ang problema sa disiplina ng mga pampasaherong sasakyan, hindi lang naman ng mga bus kundi maging ng mga jeep at iba pang PUV.",0
"Maraming mga grupo ng mga guro, magulang at iba pang mga samahan sa larangan ng edukasyon ang nagsasabing ang K+12 ay hindi makahirap.",0
Nilinaw ng opisyal ng PASG na hindi bababa sa lebel ng karahasan ang mga tauhan ng PASG dahil mga propes­yonal sila.,0
"Ayon kay Lacson, sumemplang ang lahat ng pagtatangka ni Mrs. Arroyo na mailusot ang ChaCha sa nagdaang panahon gayong nakaupo pa sa Palasyo kaya’t mas lalong walang kakayahang mag-ChaCha kung isang ordinaryong congresswoman ito.",0
"Naaresto naman sa follow-up operation ng elemento ang suspek na si Cesar Carreon y Hadap, 35; may-asawa, free lance marketing at residente ng Blk.",0
Kuwelang-kuwela ang poster ni Ai Ai para sa kanyang birthday concert dahil nakaapak ang left foot niya sa isang pink toilet bowl.,0
"Samantala, sa panig naman ni Justice Secretary Leila de Lima na kasama sa inimbitahan ng komite, base sa pagkakaunawa nito sa amnesty proclamation ay prerogative ito ng Pangulo at walang karapatan ang Kongreso na amyendahan ito.",0
Disappointed ako sa ginawa ng kaibigang George Vail Kabristante.,0
Lalong natuwa si Chard nang ibalita sa kanya na malakas ang mo­vie nila sa takilya.,0
"Kumakandidatong city councilor ng second district ng Quezon City si Jigo, kaya inusisa ko siya kung tinutulungan ba siya sa kampanya ng anak niyang si Jennica Garcia.",0
"I’m in control of everything,” mahinahong sabi ni Me­lanie sa telepono.",0
"Trudis Liit, matagal bago ma-lowbatt MAPAPANOOD na ang makulit na si Jillian Ward sa Kaya ng Po­wers (Sabado nang gabi sa GMA 7).",0
Pinabulaanan naman ng suspek ang akusasyon sa kanya.,0
"Tomas, Batangas kung saan nagkaroon ng mismatch sa tally sa pagitan ng computer read at ma­nual count.",0
Nagkataon namang nakita ni P01 Marcelo Ubaldo ng PNP-SAF ang pangyayari kung kaya’t hinabol nito ang suspek dahilan para maaresto ito.,0
Doon naman sa isang stable ay maganda ang alok sa kanya pero hindi naman niya type ‘yung kabayo habang pinag-iisipan naman niya ‘yung isang kabayo du’n sa isang kuwadra naman kung ito’y may ipakikitang pruweba kapag nagbalik na sa pista.,0
Gloria Macapagal-Arroyo na siya niyang papalitan pagkatapos ang may siyam na taon ding panunungkulan mula Enero 2001 pagkatapos ng Edsa 2 na nagpatalsik sa dating Pangulong Joseph Estrada.,0
Ipinaliwanag ni Heart na maaga ang call time niya kahapon sa first ta­ping day ng Full House na pinagbidahan nila ni Richard Gu­tierrez kaya maaga siyang natulog.,0
"“Napakabigat kasing sitwasyon ‘yon, eh!",0
"Mag-enjoy tayo at magpasalamat sa Diyos na at least, kahit hindi permanente, binigyan tayo ng paraang maging magkasama bilang mag-asawa.",0
Dahil dito maaaring nais mo ring alamin ang kanyang mga sikreto kung paaano niya hinasa ang kanyang sex appeal para mahalin siya ng lalaking kasama niya ngayon.,0
Nakumpirma ng mga awtoridad ilang araw bago ang raid ang presensya ni Ivler sa bahay ng kanyang ina.,0
Maghaharap ngayong Lunes ang isang buntis na babae at ang bading na umagaw sa ama ng kanyang unborn baby.,0
Bagama’t kapwa takot ay pinilit pa rin nilang suriin kung tao nga ang naka­bitin bago nila ito ipinabatid sa pulisya.,0
"Na nagkakamali at hangga’t nabubuhay ka sa mundo, puwede kang magkamali.",0
Nakita naman ni Bienvenido ang pangyayari kaya hinawakan umano ang kamay ng biktima at dito kumuha ng patalim si Richard bago isinaksak sa leeg ng bayaw.,0
Hello din sa lahat ng friends ko.,0
Ipinasagot umano ni Ko kay Rodin ang nag-text sa kanya at sinabing ibigay ang eksaktong address sa kanilang lugar.,0
"Ang mga biktima ay kinilalang sina Kim Ganiban, 11-anyos at residente ng Guisad ng lungsod na ito?matapos masabugan, Gian Isicen, 11-anyos, si Kenneth Carlos, 11-anyos at Michael Monte, 28-anyos.",0
Mabuting tahimik na lang daw siya at hindi na makipagkuwentuhan lalo na kay DJ Mo para hindi na siya mapahamak.,0
"Sa Malaysia, meron silang tinatawag na Special bus na hindi lamang may CR, kundi lahat ng upuan ay may personal television at maaari kang mamili ng gusto ninyong panoorin.",0
Wala namang dahilan para itago ang lahat ng mga nangyayari.,0
Ayon kay Dr. Reynaldo Lesaca Jr. ng Kidney Ins­titute Tinanggihan daw ang dala nilang kidney dahil “mabantut!,0
"Bagama’t ma-alon nang ito’y aming tawirin dahil umulan ng malakas noong nagdaang gabi, at malakas ang hangin, isa itong kakaibang ekspiryensya.",0
Nagdedebate sila kung nagbago ang itsura ni Ramielle dahil sa make-up o meron siya na dapat ipagpasalamat sa modern science.,0
Pinantayan ni Patrick Paderagao ang walong taong record sa secondary boys high jump ng magtala ito ng 1.90m lundag gaya ng marka noong 2002 ni Paulo Martinez ng Southern Tagalog.,0
"Lalo na ngayong gabi, na kung saan ay lalayas na sina Grazilda si Jikjik at wala silang matutuluyan, kaya mapipilitan silang matulog sa kalsada katabi ng mga pulubi.",0
Ang anumang idudulot ng kinabukasan para sa kanila ni Jerome ay handa na niyang harapin.,0
Nae-enjoy ko ito.,0
"Nang makita ni Enrico ang mga bata ay kumaway ito, pinapunta ang mga bata sa isang bahagi ng junkshop.",0
"“Matagal na itong mga minero dito, mga ilegal iyan at halos isang dekada na yata sila sa bundok pero parami sila ng parami at parang mga kabute kung umusbong.",0
"1 junior netter na ng ‘Pinas sa paghalili kay Alcantara sa mas mataas na world rankings, upang matigpas si Patrick Ofner ng Austria via 2-6, 6-2, 6-4 win para umabante sa third round.",0
Ang masama ay kapag ginawa mong diyos ang iyong sarili at ang iyong trabaho na wala ka nang pananalig sa magagawa ng Diyos.,0
"Sa kabuuang natipong oras na 29:52:33 pagkatapos ng walong stages, iniwan ng bagong kampeon ng 1:39 ang lagi nang itinuturing na contender pero hindi pa nananalong si Reynante, at 7:46 kay Feliciano.",0
” Dahil happy siya ngayon sa piling ni Ro­nald?,0
"Pero ang diin ni Enrile, hindi niya iiwan si Erap at susuporta­han pa, kung itutuloy nito ang pagtakbo sa 2010.",0
"Marahil, ito ay secondary ngayon sa pamilyang Mickelson.",0
Ibig bang sabihin mayroon pa tayong mga lider ng bansa na hindi marunong mag-Tagalog o makaintindi man lamang ng Tagalog?,0
Isinalarawan pa ng mga awtoridad na ang naganap na paglubog ng nasabing bangka ay isang “enormous tragedy.,0
Mga bata at teenager naman ang mga contestant sa It’s Your Time To Shine edition ng Shall We Dance na mapapanood mamayang gabi sa TV5.,0
Belo at Hayden tuwing pumapasok ang second week ng December.,0
Sa katunayan aniya posible nang ipalabas ng Department of Budget and Management (DBM) sa susunod na linggo ang draft ng mas mabalasik na executive order na nagbabawal sa mga opisyal ng GOCCs na muling makatanggap ng maluluhong benepisyo o perks.,0
Nakuha sa lugar ang mga kagamitang pampalaglag at ang fetus na nakalagay sa isang arinola.,0
Ito ang tugon ni De­puty Presidential Spokesman Abigail Valte nang matanong ukol dito.,0
Lalo namang nalantad ang kakulangan sa lambat pa­niktik ang PNP sa Samar dahil ni hindi nila nalaman kung gaano karaming NPA ang pumasok sa Barangay Imelda at pumaslang kay Rolando de Guia.,0
"Sa paglipas ng panahon, di-maiiwasang mahulog ang loob nina Elena at Daniel sa isa’t isa, at sila ay magpapakasal.",0
Ngayong Sabado ang dating ng Finnish housemate na si Kattlin Laas upang pansamantalang manatili sa Bahay ni Kuya.,0
May pinipili ang batas.,0
Noong ika-10 Kongreso ay naging tanyag ang “Tres Marias” dahil sa pagiging palaban ng mga ito na pawang mga kababaihan mula sa Mindanao.,0
"Sa isip kasi ng mga military na nanghuli at nag-aakusa ng Morong 43, kapag doctor o nurse ka, dapat sa abroad ka para kumita ng pera.",0
Inamin din ng dalaga na masaya siya sa mara­ming mga papuring tinatanggap nila ni Richard Gutierrez sa Full House.,0
” sabay tawa pa ni Mang Dolphy.,0
Sobrang bobo na ‘di inisip na kahit siguro ‘yung nasa elementary level Ang gawin mong negos­yador..,0
Wala pang talo sa kanyang 16 na career outings at 2-for-2 siya ngayong taong ito.,0
"O, hindi ba nakakatawa.",0
Isa sa inaabangang reaction sa pagdating nga ni Rustom ng bansa na bihis babae at anyong babae na ay ang kapatid nitong si Robin Padilla.,0
"Mahirap ma-achieve, pero yan ang kailangang kundi, Mr. Luz, talagang hindi po kayo makakatulog, makakakain, made-depress at magagalit.",0
Kaya ‘wag na sanang ibato ng mga awtoridad ang sisi sa mga miyembro ng media.,0
Maski kami ay naniniwala na mauuwi ito sa isang relasyon kung hindi pa talaga sila.,0
” papilosopong tanong ni Nessie.,0
Pero depende pa rin sa mood ko!,0
"Sabi sa akin ng isang taga-Singko, tinatapos pa ang set ng Paparazzi, kaya sa Sabado pa raw sila magkakaroon ng technical rehearsal.",0
"“Dahil kundi pa rin sila magkakasundo, wala ng cyclist sa Asiad.",0
Sino nga ba ang dapat sisihin sa pangyayari?,0
Naglalakad umano ang biktima na umiindayog ang balakang at nakatitig sa suspek na ‘di nagustuhan ng huli kaya’t kinompronta ang una.,0
Simula kahapon ay puspusan ang ginagawang paglilibot ni NCRPO director Chief Supt.,0
Nagtitinda ng lobo ang biktima sa tapat ng Sto.,0
Siya ay may dalawang anak sa magkaibang lalaki.,0
"Kumpara umano sa iba pang artistang binayaran ni Villar, tulad nina Michael V., Dolphy at Sarah Geronimo, patuloy silang makikitang nag-eendorso dahil political ad ang mga ito.",0
"“Sometimes, I even go sa bahay ni Sarah, sometimes naman magyayaya ang family ko for dinner.",0
"Kung yan nga ang mensahe niya sa iyo, siguraduhin mo na hindi ito bola lang.",0
Halos hindi n’ya ako kayang ipagtanggol sa bahay nila at hindi n’ya ako halos ipakausap sa mga kapatid n’ya.,0
"Ito kaya ang basehan ng pinalulutang na interesado si GMA sa Congress, sabay takbo bilang Prime Minister, KUNG magtatagmpay si Gibo?",0
Klaro naman sa sitwasyon mo na inako mo ang pagiging ama sa mga bata at ibinigay mo ang iyong apel­yido sa ikalawang anak mo na ipinanganak sa panahong aprubado na ang batas na pabor rito.,0
Mabilis na naisugod sa ospital ang biktima kung saan ito ay nasa kritikal na kalagayan.,0
Kailan ba huling nangyari ito?,0
"Itong You To Me Are Everything, ini-enjoy ko talaga ng bongga.",0
Ayoko na rin sa kanya!,0
Magkalaban noon sa Bb.,0
"Buong larong hindi nakaporma si Aparri kay Lin, na tuluyang ibinaon ang Pinay, 8-1, sa third round.",0
Nagdamdam kasi ang ibang taga-Batangas nu’ng sa halip na buma­lik ng Pilipinas si Velma nu’ng kasagsagan ng baha eh mas pinili pa nito ang manatili sa Amerika hanggang sa mawala na ang bagyo.,0
"Bago dumating ang takdang petsa ng summon, buong pagmamayabang na nagpahayag sa isang press conference sa PBA office si vice-chairman Ricky Vargas, hindi sisipot ang SBP dahil sa umano’y pakikialam ng Fiba sa local affairs ng dalawang naglalabang grupo.",0
Bigla ring sumulpot nga­yon si National Security Adviser Norberto Gonzales at ang isinisigaw naman ay “Transition Government”.,0
"“Kuya Noel, posible ring intruder ang taong nagsulat ng balita.",0
"In fact, isa sa mga una nilang ginawa ay ang mag-distribute ng bagong lutong pagkain para ipamahagi sa mga evacuation center sa Pasig at kasalukuyan pa rin silang na­nganga­lap at nagpa-pack naman daw ng mga relief goods na ipamimigay rin.",0
“Huhulaan ko kung sino!,0
Humingi si Jobert ng paumanhin sa dating sexy star.,0
"Palale sa bayan ng Tayabas, Quezon kamakalawa.",0
Sa 9-pahinang sulat na ipinadala ni Atty. Bonifacio Alentajan kay Pangulong Gloria Macapagal-Arroyo hiniling nito ang pagbawi sa Executive Order No. 624 para mabuo ang PASG.,0
Ang LA Dancers ang magbibigay ng world-class touch lalo na sa malalaki at elaborate production numbers.,0
"Wala ng buhay nang datnang nakadapa sa stockroom ni Mila Cardino, janitress, ang biktimang si Roderick Castro y Nasilang, 24, binata, ng Blk.",0
Habang mahaba-haba pa ang panahon ay dapat nang kumilos ang Commission on Elections (Comelec) kaugnay sa pagbibigay ng tamang edukasyon o kaalaman hinggil sa computerized elections ang mga botante upang maiwasan ang aberya sa mismong araw ng eleksyon.,0
"1:30PM SUERTRES 1-4-6 GRAND LOTTO 6/55 DRAW Ligaya kay Jennylyn, ayaw matapos ni Dennis!",0
"Si Remulla kasi bayaw ni Sigfrid Fortun, abogado ng mga Ampatuan.",0
"Ang ayusin mo, ang buhay mo.",0
"Sa unang trabaho ni Robredo bilang bagong pinuno ng DILG, kaila­ngan din umano ang buong suporta ng administrasyon para mapagtagumpayan ang kampanya laban sa jueteng.",0
At maging ang suporta ng mga role players na sina John Paxon at Bill Cartwright.,0
Nagdagdag si Jason Terry ng 16 points habang si Caron Butler ay nag-ambag ng 11 points at walong boards para sa ikalimang sunod na panalo ng Mavericks sa Pistons.,0
“Tuloy pa rin ang kandidatura ko.,0
Pinakamataas pa rin ang rating sa lahat ng programa ang Zorro ni Richard Gutierrez.,0
Kasabay nang pagbubukas ng kampanya ay ang simula ng pasyon sa kanto.,0
"Taxi driver, pinatay Kalunus-lunos ang sinapit ng isang taxi driver na makaraang holdapin ay wala pang awang pinatay sa loob ng kanyang minamanehong sasakyan sa Bgy.",0
"Heart, ‘di ginagamit ni Joey de Venecia!",0
Hindi nabaklas si David bilang top local scorer ng import-flavored confe­rence sa kinakadamang 21.1 points per game sa 19 na salang.,0
